Frequency (Hz)	Impedance 1 Sample Parallel Capacitance  Capacitance (F)
1000000.0	4.21411775096e-13
1007026.054383498	4.18045252148e-13
1014101.474207198	4.18171521599e-13
1021226.606315363	4.18252069857e-13
1028401.799989212	4.1809208061e-13
1035627.406964024	4.18670025553e-13
1042903.781446396	4.17250463525e-13
1050231.280131595	4.18257586345e-13
1057610.262221052	4.1804944835e-13
1065041.089439963	4.177053946e-13
1072524.126055028	4.17450607743e-13
1080059.738892306	4.17764773838e-13
1087648.29735519	4.17912980069e-13
1095290.173442529	4.179347719e-13
1102985.741766848	4.17890364414e-13
1110735.379572727	4.17998535299e-13
1118539.46675528	4.17811603994e-13
1126398.385878794	4.1863309219e-13
1134312.522195463	4.18401520867e-13
1142282.263664291	4.18265622471e-13
1150308.000970104	4.18557650887e-13
1158390.127542692	4.18438727229e-13
1166529.039576117	4.18650811972e-13
1174725.136048109	4.18564064102e-13
1182978.818739647	4.18986721496e-13
1191290.492254638	4.19056187106e-13
1199660.564039766	4.19381872497e-13
1208089.444404447	4.19025650497e-13
1216577.546540963	4.19478991414e-13
1225125.286544705	4.19578889688e-13
1233733.083434567	4.19730929152e-13
1242401.359173501	4.19797085547e-13
1251130.538689186	4.20473536177e-13
1259921.049894874	4.20844059233e-13
1268773.323710349	4.21184765346e-13
1277687.794083073	4.22064574667e-13
1286664.898009432	4.228106532e-13
1295705.075556184	4.24336399806e-13
1304808.769882019	4.26032957687e-13
1313976.427259275	4.29608499571e-13
1323208.497095836	4.35656109609e-13
1332505.431957138	4.51988230447e-13
1341867.687588378	5.85286239133e-13
1351295.722936833	3.74213060509e-13
1360790.000174378	3.96525726376e-13
1370350.984720124	4.04654148178e-13
1379979.145263247	4.06200213548e-13
1389674.953785963	4.09201792284e-13
1399438.885586648	4.11254777128e-13
1409271.419303165	4.07309666093e-13
1419173.036936298	4.10234481098e-13
1429144.22387341	4.11154535182e-13
1439185.468912207	4.12281433737e-13
1449297.264284727	4.12689690776e-13
1459480.105681446	4.12831014121e-13
1469734.492275598	4.12689035291e-13
1480060.926747632	4.13783731108e-13
1490459.915309851	4.13655955862e-13
1500931.967731245	4.14024271714e-13
1511477.597362456	4.13704061509e-13
1522097.321160967	4.1395744703e-13
1532791.65971642	4.14082412414e-13
1543561.137276163	4.14398117847e-13
1554406.281770919	4.14479951412e-13
1565327.624840693	4.14275612528e-13
1576325.701860819	4.1469661872e-13
1587401.051968199	4.14975848303e-13
1598554.218087752	4.15124861582e-13
1609785.746959007	4.14980803803e-13
1621096.189162924	4.15182077772e-13
1632486.099148865	4.14793121981e-13
1643956.035261793	4.15081146005e-13
1655506.559769622	4.15129766954e-13
1667138.238890801	4.15041189522e-13
1678851.64282206	4.15081321831e-13
1690647.345766353	4.14946690175e-13
1702525.925961028	4.15094127232e-13
1714487.965706145	4.15134798152e-13
1726534.051393053	4.15460533141e-13
1738664.773533102	4.14574070082e-13
1750880.726786621	4.15316921084e-13
1763182.509992043	4.15232348501e-13
1775570.726195279	4.15440533788e-13
1788045.982679278	4.15414621556e-13
1800608.890993778	4.154671358e-13
1813260.066985314	4.15005425394e-13
1826000.130827378	4.15028307903e-13
1838829.70705085	4.14986145178e-13
1851749.424574581	4.15116310932e-13
1864759.916736257	4.15249881671e-13
1877861.821323413	4.15349514507e-13
1891055.780604726	4.15388623704e-13
1904342.441361487	4.15476462288e-13
1917722.454919296	4.15635058954e-13
1931196.477180019	4.15564585784e-13
1944765.168653905	4.15490082051e-13
1958429.194492004	4.15635020702e-13
1972189.224518735	4.15344072971e-13
1986045.933264757	4.15566684224e-13
2000000.0	4.15576075594e-13
